"Database","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO-BP","GO:0090281","negative regulation of calcium ion import",12,0.852576773527006,1.53415374746216,0.0320995771601053,1,1,2936,"tags=42%, list=10%, signal=37%","6588/5535/7779/3280/407040",0.321775918075361
"GO-BP","GO:0021895","cerebral cortex neuron differentiation",12,-0.943800034620113,-1.52867853419996,0.00190555879366349,0.443508621316769,0.443508621316769,522,"tags=17%, list=2%, signal=16%","429/1812",0.45505986738723
"GO-BP","GO:0045475","locomotor rhythm",12,0.847481396456814,1.5249849639934,0.0355184290556433,1,1,166,"tags=8%, list=1%, signal=8%","4159",0.321775918075361
"GO-BP","GO:0035107","appendage morphogenesis",61,-0.805488272571412,-1.52134944941181,0.00324345229579529,0.515445932412873,0.515445932412873,1384,"tags=15%, list=5%, signal=14%","5307/7291/6909/7473/6910/27164/3207/130497/6299",0.431707695803346
"GO-BP","GO:0035108","limb morphogenesis",61,-0.805488272571412,-1.52134944941181,0.00324345229579529,0.515445932412873,0.515445932412873,1384,"tags=15%, list=5%, signal=14%","5307/7291/6909/7473/6910/27164/3207/130497/6299",0.431707695803346
"GO-BP","GO:0043011","myeloid dendritic cell differentiation",10,0.878308200869455,1.51961430661985,0.0371977874034279,1,1,2212,"tags=60%, list=8%, signal=55%","1437/116071/81501/10537/3565/55509",0.321775918075361
"GO-BP","GO:0098534","centriole assembly",50,-0.838418748704262,-1.51585671846797,0.00166048543595996,0.424506711454112,0.424506711454113,1311,"tags=8%, list=5%, signal=8%","159989/118611/166979/345643",0.45505986738723
"GO-BP","GO:0045824","negative regulation of innate immune response",90,0.643580206613139,1.51471292122689,0.0105412199613347,0.741526462732232,0.741526462732232,3295,"tags=20%, list=11%, signal=18%","730249/710/11274/9636/4940/4938/79132/54625/6773/3965/11277/3428/634/9111/10906/5272/6737/25939",0.380730400722792
"GO-BP","GO:0007289","spermatid nucleus differentiation",16,-0.911252436552415,-1.51420847618296,0.00908522666733114,0.712281770718761,0.712281770718761,43,"tags=6%, list=0%, signal=6%","7142",0.380730400722792
"GO-BP","GO:0042168","heme metabolic process",43,-0.845268515126554,-1.51284509072748,0.0027907358401154,0.508411692627421,0.508411692627421,768,"tags=7%, list=3%, signal=7%","259/2168/54658",0.431707695803346
"GO-BP","GO:0071346","cellular response to type II interferon",68,0.669480763138283,1.51219666472347,0.0187482481580069,0.892349360171221,0.892349360171221,4050,"tags=29%, list=14%, signal=25%","730249/6347/6772/83666/2633/54625/115361/388646/3965/115362/7124/3458/6672/2635/2634/445/163351/84166/3717/834",0.352487857583619
"GO-BP","GO:1901844","regulation of cell communication by electrical coupling involved in cardiac conduction",11,-0.950816213124965,-1.5121587050035,0.00139191914072632,0.400188935386019,0.400188935386019,562,"tags=18%, list=2%, signal=18%","6910/10345",0.45505986738723
"GO-BP","GO:0095500","acetylcholine receptor signaling pathway",43,0.722495053211969,1.51045658305573,0.0196937320995336,0.904680818322326,0.904680818322326,2901,"tags=23%, list=10%, signal=21%","1143/85397/4061/375790/55584/1136/432355/59340/1141/1140",0.352487857583619
"GO-BP","GO:0003230","cardiac atrium development",25,0.773374443490529,1.50728898366759,0.0409925814434289,1,1,2349,"tags=24%, list=8%, signal=22%","2626/5629/57057/6474/27302/23493",0.321775918075361
"GO-BP","GO:0070863","positive regulation of protein exit from endoplasmic reticulum",15,-0.93975285756555,-1.50465765483853,0.00119925814369558,0.372353151645172,0.372353151645172,105,"tags=7%, list=0%, signal=7%","123264",0.45505986738723
