"Rank","Ensembl_ID","DESeq2_log2FC","edgeR_logFC","DESeq2_padj","edgeR_FDR","mean_padj"
100,"ENSG00000197121.14",1.091,1.084,8.90833871080309e-13,3.41105894722473e-07,1.70553392778172e-07
101,"ENSG00000225131.2",1.106,1.092,1.41739974278526e-12,4.17309067567672e-07,2.08655242483707e-07
102,"ENSG00000162654.8",1.75,1.744,1.96959736590986e-14,4.29463805527785e-07,2.14731912611879e-07
103,"ENSG00000140464.19",1.44,1.434,1.54985693871e-13,4.29463805527785e-07,2.14731980256739e-07
104,"ENSG00000196116.7",1.177,1.171,8.18262947503058e-13,4.36963118854527e-07,2.18481968558737e-07
105,"ENSG00000111335.12",2.849,2.851,5.44601230939533e-15,4.4459656935801e-07,2.22298287402011e-07
106,"ENSG00000175550.7",1.057,1.052,1.65365278090167e-12,4.56947356803684e-07,2.28474505228232e-07
107,"ENSG00000132256.18",1.388,1.379,3.17970253386284e-13,5.16402954945752e-07,2.58201636458003e-07
108,"ENSG00000130812.10",1.152,1.145,1.34267744495901e-12,5.44134882851542e-07,2.72068112764493e-07
109,"ENSG00000088827.12",3.598,4.454,2.21331523315733e-07,4.56947356803684e-07,3.39139440059709e-07
110,"ENSG00000162840.4",4.641,4.473,3.38931206076535e-15,6.84085401793981e-07,3.42042702591646e-07
111,"ENSG00000268061.5",1.009,1.005,1.33066103176423e-11,1.14960035606867e-06,5.74806831339496e-07
112,"ENSG00000196141.13",3.025,3.01,1.40942767827185e-13,1.20207812043291e-06,6.01039130687838e-07
113,"ENSG00000177294.6",2.41,2.282,1.32202932409322e-06,1.09734304143126e-07,7.15881814118172e-07
114,"ENSG00000137200.12",1.411,1.406,3.27541361485071e-12,1.71481897537834e-06,8.57411125395976e-07
115,"ENSG00000013374.15",1.015,1.004,4.2180851521325e-11,2.47360102079498e-06,1.23682160082325e-06
116,"ENSG00000152778.8",1.84,1.833,8.10190286664528e-13,2.6465282513516e-06,1.32326453077094e-06
117,"ENSG00000169245.5",5.014,3.907,2.70360970025144e-06,3.99681809630598e-08,1.37178894060725e-06
118,"ENSG00000178685.13",1.312,1.304,2.38455332857109e-11,3.47789882545552e-06,1.7389613354944e-06
119,"ENSG00000020577.13",1.803,1.74,1.8559981569928e-06,2.652179734435e-06,2.2540889457139e-06
120,"ENSG00000155363.18",1.548,1.549,1.40590605009905e-11,5.2047223546442e-06,2.60236820685235e-06
121,"ENSG00000188157.14",2.351,2.358,3.85336885940304e-12,5.2798254915501e-06,2.63991467245948e-06
122,"ENSG00000278044.1",3.943,3.579,1.22579352775186e-05,1.46858059895178e-08,6.13631054175408e-06
123,"ENSG00000213492.2",1.386,1.374,2.1115165194096e-10,1.32100054757198e-05,6.60510831368587e-06
124,"ENSG00000282827.2",1.177,1.176,4.06423811398869e-10,1.34297490248251e-05,6.71507772431823e-06
125,"ENSG00000213500.3",1.817,1.862,4.95948120097266e-10,1.49950051900438e-05,7.49775056908197e-06
126,"ENSG00000163568.14",1.524,1.505,8.01408495587378e-11,1.55308542163682e-05,7.76546717860886e-06
127,"ENSG00000263069.5",1.272,1.269,4.34900502608773e-10,1.56591417362677e-05,7.82978831838518e-06
128,"ENSG00000281450.1",1.815,1.86,6.54987157200403e-10,1.79866419754363e-05,8.99364848129677e-06
129,"ENSG00000154451.14",1.422,1.412,3.48042719251238e-10,1.95216350687257e-05,9.76099155572247e-06
130,"ENSG00000243650.3",1.007,1.046,6.23826879896266e-07,1.9194927686233e-05,9.90937728306465e-06
131,"ENSG00000225075.1",1.469,1.471,5.18434875697147e-09,2.34857566419617e-05,1.17454704953593e-05
132,"ENSG00000115155.16",5.09,4.117,5.98563389038262e-13,2.63443252288484e-05,1.31721629137059e-05
133,"ENSG00000242590.1",2.2,2.238,1.3489110854998e-09,2.70741486669342e-05,1.35377487890098e-05
134,"ENSG00000223387.6",5.534,4.773,2.79744628522625e-05,2.10944291157827e-07,1.40927035717102e-05
135,"ENSG00000188290.10",2.516,2.575,2.30181782319901e-10,2.94553430169791e-05,1.47277865993807e-05
136,"ENSG00000233975.1",5.259,2.315,6.96100819916469e-09,4.18917368739655e-05,2.09493489410824e-05
137,"ENSG00000112773.15",1.043,1.039,2.11908797323606e-08,4.38546720938494e-05,2.19379314867909e-05
138,"ENSG00000226155.1",1.414,1.486,7.04760309781105e-06,3.69093886492734e-05,2.19784958735422e-05
139,"ENSG00000269720.2",1.926,1.89,5.17255562136519e-06,4.42415936767266e-05,2.47070746490459e-05
140,"ENSG00000280248.1",1.314,1.307,6.33608913749389e-09,5.659685106316e-05,2.83015935761488e-05
141,"ENSG00000139618.14",1.397,1.396,2.56604099024717e-08,6.27298701869238e-05,3.13777652984131e-05
142,"ENSG00000279320.1",1.415,1.557,5.707712913951e-05,8.04006826002461e-06,3.25585986997673e-05
143,"ENSG00000102524.11",1.256,1.261,1.69598962654481e-08,6.74670035101043e-05,3.37419817031849e-05
144,"ENSG00000254503.1",1.418,1.342,5.18864783561458e-07,7.29505455424022e-05,3.67347051629818e-05
145,"ENSG00000136514.2",1.836,1.873,4.38884976933025e-09,7.62966343138603e-05,3.81505115818148e-05
146,"ENSG00000173786.16",1.06,1.053,4.29274558247209e-08,7.89252656682129e-05,3.94840965620188e-05
147,"ENSG00000161692.17",1.015,1.007,7.47383290157431e-08,8.99883420563595e-05,4.50315401926876e-05
148,"ENSG00000248988.1",1.115,1.105,6.12467646548916e-07,9.41465903819264e-05,4.73795290142377e-05
149,"ENSG00000237568.1",1.384,1.39,2.4408190761094e-08,9.63098235447776e-05,4.81671158677694e-05
150,"ENSG00000169715.14",6.48,6.128,2.97996049642765e-12,0.000100919483711694,5.04597433458275e-05
151,"ENSG00000010030.13",2.9,2.893,5.45373272475068e-07,0.00011574291326532,5.81441432688976e-05
152,"ENSG00000171860.4",1.16,1.16,1.72459644923815e-06,0.000128530288601167,6.51274425252025e-05
153,"ENSG00000121380.12",3.138,2.555,0.000153563323393238,3.18619109327424e-07,7.69409712512828e-05
154,"ENSG00000179750.15",1.128,1.17,3.71656949710969e-07,0.000157744400894516,7.90580289221133e-05
155,"ENSG00000260823.1",8.955,4.683,1.83911398196968e-13,0.00017742852114539,8.87142606646505e-05
156,"ENSG00000179044.15",2.078,2.711,0.000180587447147763,1.03814110191654e-06,9.08127941248396e-05
157,"ENSG00000121236.20",2.353,2.559,0.000212611261486525,1.97920206778137e-08,0.000106315526753601
158,"ENSG00000273009.1",1.544,1.546,0.000165496645150667,6.39438022563097e-05,0.000114720223703488
159,"ENSG00000137198.9",1.985,1.917,9.54667767888238e-05,0.000167777613774793,0.000131622195281808
160,"ENSG00000149131.15",4.566,3.933,0.000270900375416236,1.23518799893043e-11,0.000135450193884058
161,"ENSG00000226004.1",3.941,3.223,0.000283393811383895,5.12879559197848e-06,0.000144261303487937
162,"ENSG00000185338.4",1.349,1.317,1.59294442531167e-07,0.000312996486012554,0.000156577890227542
163,"ENSG00000079263.18",1.123,1.111,3.13670292668464e-07,0.000328546940802737,0.000164430305547703
164,"ENSG00000152766.5",2.047,1.603,0.000140513348600288,0.000228500089278291,0.000184506718939289
165,"ENSG00000162614.18",2.265,2.133,0.000342481517558372,2.94553430169791e-05,0.000185968430287676
166,"ENSG00000172159.15",1.385,1.414,3.34237550130768e-07,0.000380808494576134,0.000190571366063132
167,"ENSG00000138035.14",1.791,1.794,5.54861826841171e-07,0.000434965581206159,0.0002177602215165
168,"ENSG00000184795.9",1.053,1.137,3.4204035357695e-05,0.000419004123214777,0.000226604079286236
169,"ENSG00000232680.2",1.723,1.442,0.000448835702685574,5.36595347342275e-05,0.000251247618709901
170,"ENSG00000038210.12",1.295,1.276,7.15777710444777e-07,0.000526715774703518,0.000263715776206981
