"Database","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO-BP",NA,NA,"GO:0019221","cytokine-mediated signaling pathway","23/159","430/14135",0.0534883720930233,4.75508263858417,8.43439364982325,4.97979537220932e-10,8.80261828627535e-08,8.80261828627535e-08,"IFITM1/PARP14/TRIM6/IRF7/OAS2/IFI27/PARP9/MX1/TNFSF13B/STAT1/CXCL10/CCL25/ZBP1/SOCS1/OAS1/OASL/CCL2/STAT2/IFITM3/AIM2/USP18/ISG15/OAS3",23
"GO-BP",NA,NA,"GO:0002221","pattern recognition receptor signaling pathway","18/159","258/14135",0.0697674418604651,6.2022817025011,8.99488435195253,6.82458073592523e-10,1.16744360137456e-07,1.16744360137456e-07,"DDX60/IFI35/RIGI/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/NMI/FFAR2/OAS1/OASL/RSAD2/CD274/AIM2/IFI16/OAS3/DHX58",18
"GO-BP",NA,NA,"GO:0002758","innate immune response-activating signaling pathway","18/159","272/14135",0.0661764705882353,5.88304661487236,8.67333997870829,1.59475028408393e-09,2.64280023640533e-07,2.64280023640533e-07,"DDX60/IFI35/RIGI/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/NMI/FFAR2/OAS1/OASL/RSAD2/CD274/AIM2/IFI16/OAS3/DHX58",18
"GO-BP",NA,NA,"GO:0002757","immune response-activating signaling pathway","23/159","478/14135",0.0481171548117155,4.27758480039999,7.7755280103404,3.83067086961227e-09,6.15577200653147e-07,6.15577200653147e-07,"DDX60/IFI35/C3AR1/RIGI/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/GBP1/NMI/FFAR2/PDCD1LG2/OAS1/OASL/RSAD2/LAG3/CD274/AIM2/PLSCR1/IFI16/OAS3/DHX58",23
"GO-BP",NA,NA,"GO:0002230","positive regulation of defense response to virus by host","7/159","30/14135",0.233333333333333,20.7431865828092,11.5459850708089,3.2699948335465e-08,5.10023017714621e-06,5.10023017714621e-06,"RIGI/TRIM6/PARP9/STAT1/DTX3L/PML/AIM2",7
"GO-BP",NA,NA,"GO:0039530","MDA-5 signaling pathway","5/159","10/14135",0.5,44.4496855345912,14.659935820658,4.07225359325592e-08,6.17004594429603e-06,6.17004594429604e-06,"DDX60/IRF7/IFIH1/OAS3/DHX58",5
"GO-BP",NA,NA,"GO:0031348","negative regulation of defense response","15/159","231/14135",0.0649350649350649,5.77268643306379,7.80079153363123,5.08336493878139e-08,7.48807896398826e-06,7.48807896398826e-06,"PARP14/TREX1/SERPING1/LGALS9/TNFAIP6/NMI/OAS1/STAT2/TRAFD1/SERPINB9/USP18/ISG15/IFI16/OAS3/DHX58",15
"GO-BP",NA,NA,"GO:0042742","defense response to bacterium","14/159","205/14135",0.0682926829268293,6.07117656082221,7.80099075865839,7.74444999603128e-08,1.1099680629447e-05,1.1099680629447e-05,"H2BC8/GBP4/H2BC21/OAS2/SLC30A1/GBP5/GBP1/H2BC4/OAS1/H2BC18/H2BC5/ISG15/OAS3/APOL1",14
"GO-BP",NA,NA,"GO:0035458","cellular response to interferon-beta","6/159","22/14135",0.272727272727273,24.2452830188679,11.6379414389835,1.18494872795963e-07,1.63121124788664e-05,1.63121124788664e-05,"TRIM6/STAT1/OAS1/PNPT1/AIM2/IFI16",6
"GO-BP",NA,NA,"GO:0002753","cytoplasmic pattern recognition receptor signaling pathway","13/159","180/14135",0.0722222222222222,6.42051013277428,7.80640632060726,1.1996462128527e-07,1.63121124788664e-05,1.63121124788664e-05,"DDX60/RIGI/EIF2AK2/TREX1/IRF7/GBP5/IFIH1/OAS1/OASL/RSAD2/IFI16/OAS3/DHX58",13
